proxy-nl.privateinternetaccess.com:1080;nl
148.163.92.84:7808;United States
149.5.36.130:3128;Ireland
150.241.228.5:3128;Spain
152.26.69.153:8080;United States
162.208.49.45:3127;United States
162.208.49.45:7808;United States
162.253.13.252:8080;United States
163.125.118.50:9797;China
163.125.119.36:9797;China
163.125.146.176:9999;China
163.125.147.14:9999;China
163.125.147.27:9999;China
163.125.16.160:8888;China
Trustworthy Commercial Proxy;
Yes it costs money, but the reliability and customer service is well worth it.;
163.125.218.214:9797;China
163.125.39.205:9797;China
163.142.76.60:9000;China
165.139.149.169:3128;United States
165.166.173.12:8089;United States
165.234.106.134:8080;United States
166.78.165.36:3128;United States
171.37.252.165:9797;China
173.208.248.221:7808;United States
173.208.248.221:8089;United States
173.255.115.54:3128;United States
173.88.184.122:21320;United States
174.37.231.175:80;United States
174.6.79.50:3128;Canada
175.1.38.111:80;China
175.138.64.17:3128;Malaysia
175.139.67.107:8080;Malaysia
175.43.20.95:80;China
176.106.127.253:8080;Serbia and Montenegro
176.122.199.46:3128;Poland
176.31.168.23:3128;Italy
177.125.87.172:8080;Brazil
177.126.188.208:80;Brazil
177.126.81.108:3128;Brazil
177.126.89.27:3128;Brazil
177.128.87.117:8080;Brazil
177.128.87.81:8080;Brazil
177.130.60.31:3128;Brazil
177.135.110.196:8080;Brazil
177.136.192.166:8080;Brazil
177.159.113.114:8080;Brazil
177.159.146.138:3128;Brazil
177.17.251.138:8080;Brazil
177.200.82.185:8080;Brazil
177.206.30.154:3128;Brazil
Trustworthy Commercial Proxy;
Yes it costs money, but the reliability and customer service is well worth it.;
177.207.49.209:8080;Brazil
177.207.81.86:8080;Brazil
177.21.25.27:8080;Brazil
177.22.111.113:3128;Brazil
177.223.0.26:8080;Brazil
177.223.2.1:8080;Brazil
177.34.51.193:3128;Brazil
177.36.45.30:8000;Brazil
177.39.173.52:8080;Brazil
177.43.212.44:3128;Brazil
177.43.243.107:8080;Brazil
177.43.26.100:8080;Brazil
177.53.239.32:8080;Brazil
177.66.238.242:3128;Brazil
177.67.29.164:3128;Brazil
177.69.254.253:8080;Brazil
177.69.67.241:3128;Brazil
177.91.192.116:8080;Brazil
178.188.124.173:3129;Austria
178.236.40.36:8888;Iran, Islamic Republic of
178.248.24.4:8118;Sweden
178.249.14.12:80;Spain
178.46.179.118:3128;Russian Federation
178.62.184.237:3128;United Kingdom
178.79.25.33:8080;Serbia and Montenegro
179.107.142.54:3128;Brazil
179.108.90.17:3128;Brazil
179.181.92.45:8080;Brazil
179.218.55.103:3128;Brazil
179.61.95.225:8080;Argentina
180.119.254.7:8585;China
180.142.129.132:9999;China
180.211.159.166:8080;Bangladesh
180.234.211.197:8080;Bangladesh
180.234.213.129:8080;Bangladesh
Gigabit Speed Proxy Servers;
Break Through Limits!;
180.234.222.90:8080;Bangladesh
180.241.208.34:80;Indonesia
180.242.51.185:8080;Indonesia
180.245.229.82:8080;Indonesia
180.245.242.154:80;Indonesia
180.247.4.197:3128;Indonesia
180.250.148.162:8080;Indonesia
180.250.160.58:8080;Indonesia
180.250.181.98:8080;Indonesia
180.250.185.2:8080;Indonesia
180.250.250.92:80;Indonesia
180.250.250.92:8080;Indonesia
180.250.44.250:80;Indonesia
180.252.179.145:8080;Indonesia
180.253.253.56:8080;Indonesia
180.254.184.49:8080;Indonesia
181.110.248.53:8080;Argentina
181.143.10.2:3128;Colombia
181.39.14.146:8080;Ecuador
181.64.207.166:8080;Peru
181.73.78.184:8080;Chile
181.88.177.145:8080;Argentina
182.16.253.212:8080;Indonesia
182.160.116.50:8080;Bangladesh
182.201.108.171:9797;China
182.23.33.27:8080;Indonesia
182.239.127.139:81;Hong Kong
182.239.127.140:81;Hong Kong
182.239.95.136:80;Hong Kong
182.253.121.44:8080;Indonesia
182.253.123.20:3128;Indonesia
182.253.139.226:8080;Indonesia
182.253.142.15:8080;Indonesia
182.253.210.123:8080;Indonesia
182.253.250.5:80;Indonesia
Don't Trust Free Proxies! Use Commercial Proxy!;
We guarantee Stability and Privacy;
182.253.34.249:3128;Indonesia
182.253.72.8:8080;Indonesia
182.253.73.141:8080;Indonesia
182.48.67.182:8080;Bangladesh
182.52.138.149:8080;Thailand
182.74.224.66:8080;India
182.75.29.34:8080;India
182.92.81.187:3128;China
183.13.178.254:9797;China
183.131.144.204:80;China
183.136.135.153:8080;China
183.141.69.135:3128;China
183.185.1.58:9797;China
183.203.208.166:8001;China
183.207.224.42:80;China
183.207.224.50:80;China
183.207.224.50:81;China
183.207.224.50:82;China
183.207.224.50:84;China
183.207.224.51:82;China
183.207.224.51:83;China
183.207.224.51:84;China
183.207.224.51:85;China
183.207.224.52:80;China
183.207.224.52:81;China
183.207.224.52:82;China
183.207.224.52:83;China
183.207.228.115:80;China
183.207.228.122:80;China
183.207.228.22:81;China
183.207.228.22:83;China
183.207.228.41:80;China
183.207.228.42:80;China
183.207.228.43:80;China
183.207.228.50:81;China
Don't Trust Free Proxies! Use Commercial Proxy!;
We guarantee Stability and Privacy;
183.207.228.51:82;China
183.207.228.51:83;China
183.207.228.51:86;China
183.207.228.52:80;China
183.207.228.52:84;China
183.207.228.52:85;China
183.207.228.54:81;China
183.207.228.54:84;China
183.207.228.8:80;China
183.207.228.9:61616;China
183.207.228.9:85;China
183.207.228.9:87;China
183.207.228.9:88;China
183.207.228.9:89;China
183.207.228.9:90;China
183.207.229.137:6969;China
183.207.229.137:7070;China
183.207.229.137:80;China
183.207.229.137:88;China
183.207.229.138:8888;China
183.207.229.138:9001;China
183.207.229.138:9090;China
183.207.229.138:9999;China
183.207.229.139:80;China
183.207.229.139:8088;China
183.207.229.139:88;China
183.207.229.17:80;China
183.207.229.19:8081;China
183.207.229.19:9090;China
183.207.237.18:81;China
183.207.237.18:82;China
183.207.237.18:83;China
183.207.237.18:85;China
183.224.1.30:80;China
183.33.14.43:9797;China
Gigabit Speed Proxy Servers;
Break Through Limits!;
183.51.158.154:9797;China
183.54.30.223:9000;China
183.60.44.136:88;China
183.61.240.126:80;China
183.63.120.226:9797;China
183.69.155.40:80;China
183.81.191.77:8080;Cambodia
183.87.119.49:8080;India
183.87.39.221:8080;India
183.95.8.245:8118;China
184.170.253.22:30264;United States
185.33.113.4:8088;Lebanon
185.33.113.6:8088;Lebanon
185.58.16.41:8080;Ireland
185.58.16.57:8080;Ireland
186.0.222.69:8080;Argentina
186.101.82.74:3128;Ecuador
186.109.86.239:21320;Argentina
186.208.82.157:8080;Brazil
186.215.231.214:8080;Brazil
186.218.114.97:3128;Brazil
186.222.84.251:3128;Brazil
186.225.42.91:8080;Brazil
186.233.116.90:80;Brazil
186.233.231.38:8080;Brazil
186.235.240.42:8080;Brazil
186.249.215.95:8080;Brazil
186.42.167.84:8080;Ecuador
186.42.198.250:3128;Ecuador
186.46.185.186:8080;Ecuador
186.67.187.162:8080;Chile
186.67.193.194:8081;Chile
186.92.65.163:8080;Venezuela
186.95.208.179:8080;Venezuela
187.102.153.153:3128;Brazil
;
;
;
;
;
Fast USA/Canada and Europe Proxy Servers;
187.175.223.128:8080;Mexico
187.33.205.39:3128;Brazil
187.4.158.18:80;Brazil
187.4.158.27:80;Brazil
187.62.205.74:3128;Brazil
187.67.145.83:8080;Brazil
187.7.215.91:8080;Brazil
187.79.3.57:8080;Brazil
187.85.85.7:8080;Brazil
188.127.119.126:8080;Bosnia and Herzegovina
188.138.61.118:3128;Germany
188.165.223.173:8123;France
188.237.185.202:8080;Moldova, Republic of
188.64.171.40:3128;Russian Federation
189.105.9.231:8080;Brazil
189.113.64.126:8080;Brazil
189.124.17.134:3128;Brazil
189.13.245.221:8080;Brazil
189.16.13.90:8080;Brazil
189.23.185.130:3128;Brazil
189.51.1.114:8080;Brazil
189.58.105.85:3128;Brazil
189.84.112.20:8080;Brazil
189.84.127.93:8080;Brazil
189.85.17.33:8080;Brazil
189.85.20.97:8080;Brazil
189.85.21.173:8080;Brazil
189.85.22.22:8080;Brazil
189.90.103.137:3129;Brazil
189.90.103.138:3129;Brazil
189.90.103.139:3129;Brazil
189.90.103.142:3129;Brazil
189.90.103.143:3129;Brazil
189.90.103.144:3129;Brazil
189.90.103.147:3129;Brazil
Trustworthy Commercial Proxy;
Yes it costs money, but the reliability and customer service is well worth it.;
190.112.117.153:8080;Argentina
190.112.98.204:8080;Argentina
190.120.251.121:8080;Venezuela
190.144.103.242:80;Colombia
190.144.241.196:3128;Colombia
190.184.144.6:8080;Colombia
190.189.90.91:8080;Argentina
190.202.130.170:8080;Venezuela
190.202.130.171:8080;Venezuela
190.204.49.124:3128;Venezuela
190.207.32.211:3128;Venezuela
190.216.224.79:8080;Venezuela
190.233.55.109:80;Peru
190.25.225.75:8080;Colombia
190.52.172.242:8080;Paraguay
190.52.175.76:3128;Paraguay
190.8.166.128:8080;Venezuela
190.90.193.59:8080;Colombia
190.98.205.107:80;Chile
191.103.28.153:8080;Argentina
191.103.35.206:8080;Argentina
191.185.238.74:8080;Brazil
191.240.139.128:8080;Brazil
191.7.200.85:8080;Brazil
192.157.232.164:8080;United States
192.3.91.98:8080;United States
192.99.3.129:3128;Canada
193.107.4.230:6666;Serbia and Montenegro
193.178.187.187:9999;Ukraine
193.232.184.141:8080;Russian Federation
193.25.120.235:8080;Ukraine
193.30.251.5:8080;Serbia and Montenegro
194.181.108.50:80;Poland
194.190.93.83:80;Russian Federation
194.213.60.227:8585;Czech Republic
Tired of slow free proxies? Get Paid Proxy!;
You will feel the difference;
194.60.227.131:8080;Poland
195.114.128.9:3128;Ukraine
195.128.141.4:8080;Slovenia
195.154.75.164:3128;France
195.191.82.186:8080;Russian Federation
195.222.125.2:8080;Ukraine
195.239.175.190:3128;Russian Federation
195.40.6.43:3128;United Kingdom
195.59.143.254:8080;Ireland
196.2.98.24:8080;South Africa
196.218.129.119:8088;Egypt
196.25.222.51:80;South Africa
196.28.231.187:80;Mozambique
196.45.132.1:8080;Tanzania, United Republic of
196.45.159.125:8080;Tanzania, United Republic of
196.45.159.149:8080;Tanzania, United Republic of
197.218.202.86:8080;Mozambique
197.242.246.2:8080;Nigeria
198.11.172.65:3128;United States
198.50.129.34:3128;Canada
198.50.129.34:8080;Canada
198.50.233.221:3128;Canada
198.52.241.227:3128;United States
199.189.84.217:3128;United States
199.200.120.36:3127;United States
199.200.120.36:7808;United States
199.200.120.37:7808;United States
199.200.120.37:8089;United States
199.203.111.44:3128;Israel
200.109.150.199:3128;Venezuela
200.109.150.199:3129;Venezuela
200.11.240.77:3128;Venezuela
200.155.36.177:8080;Brazil
200.161.103.93:3128;Brazil
200.167.191.227:3128;Brazil
;
;
;
;
;
Fast USA/Canada and Europe Proxy Servers;
200.169.142.73:80;Brazil
200.192.248.74:8080;Brazil
200.192.248.94:8080;Brazil
200.195.167.27:8080;Brazil
200.203.146.69:3128;Brazil
200.206.114.42:3128;Brazil
200.209.121.4:80;Brazil
200.215.16.170:80;Brazil
200.220.193.50:8080;Brazil
200.242.145.3:3128;Brazil
200.45.51.87:8080;Argentina
200.69.206.157:8080;Argentina
200.87.179.242:8080;Bolivia
200.99.138.79:80;Brazil
201.11.138.40:8080;Brazil
201.116.227.173:3128;Mexico
201.12.21.226:8080;Brazil
201.151.109.134:8080;Mexico
201.199.134.195:3128;Costa Rica
201.2.110.80:3128;Brazil
201.20.20.212:80;Brazil
201.211.202.196:8080;Venezuela
201.221.131.62:8080;Colombia
201.242.243.161:8080;Venezuela
201.243.169.227:8080;Venezuela
201.29.184.143:8080;Brazil
201.29.197.4:8080;Brazil
201.48.207.146:3128;Brazil
201.49.212.99:80;Brazil
201.53.165.102:3128;Brazil
201.55.159.242:80;Brazil
201.59.174.194:80;Brazil
201.64.102.194:3128;Brazil
201.73.106.221:3128;Brazil
201.87.210.214:3128;Brazil
Trustworthy Commercial Proxy;
Yes it costs money, but the reliability and customer service is well worth it.;
201.87.221.75:8080;Brazil
202.102.22.153:3128;China
202.102.83.53:80;China
202.104.188.53:80;China
202.106.16.36:3128;China
202.108.35.151:80;China
202.108.50.75:80;China
202.108.50.75:81;China
202.119.25.70:9999;China
202.119.25.73:9999;China
202.138.240.235:8080;Indonesia
202.145.3.242:8080;Indonesia
202.153.227.50:8080;Indonesia
202.154.179.23:3128;Indonesia
202.154.190.150:8080;Indonesia
202.154.23.89:80;Indonesia
202.154.41.84:80;Indonesia
202.162.197.222:8080;Indonesia
202.171.253.74:85;Macau
202.171.253.84:83;Macau
202.171.253.84:85;Macau
202.179.71.121:8080;India
202.191.122.250:8080;Bangladesh
202.29.235.130:3129;Thailand
202.38.95.66:8080;China
202.43.179.82:3128;Indonesia
202.5.194.7:3128;Mongolia
202.56.175.34:8080;Indonesia
202.69.105.238:3128;Indonesia
202.77.114.205:3128;Indonesia
202.77.115.71:54321;Indonesia
202.77.123.38:5555;Indonesia
202.79.32.26:3128;Nepal
203.110.169.108:8080;China
203.112.195.20:8080;Bangladesh
Trustworthy Commercial Proxy;
Yes it costs money, but the reliability and customer service is well worth it.;
203.114.110.83:8080;Thailand
203.130.192.179:3128;Indonesia
203.142.87.132:8080;Indonesia
203.156.123.199:8080;Thailand
203.160.56.116:8080;Indonesia
203.172.209.134:8080;Thailand
203.172.248.190:8080;Thailand
203.176.182.101:8080;Indonesia
203.189.136.220:8080;Cambodia
203.189.158.118:8080;Cambodia
203.217.170.144:80;Cambodia
203.81.67.142:8080;Myanmar
203.89.30.2:80;Indonesia
203.90.233.75:3128;Hong Kong
203.91.121.74:3128;China
203.91.121.77:3128;China
203.93.106.31:3128;China
204.27.58.202:8118;United States
206.181.83.254:80;United States
207.91.10.234:8080;United States
209.150.233.83:80;United States
209.177.93.6:80;United States
209.203.205.235:3128;United States
210.101.131.231:8080;Korea, Republic of
210.101.131.232:8080;Korea, Republic of
210.187.9.38:3128;Malaysia
210.201.80.252:3128;Taiwan
210.56.50.136:3128;Hong Kong
210.57.215.150:3128;Indonesia
210.6.237.191:3128;Hong Kong
211.138.121.38:80;China
211.141.133.100:8001;China
211.144.76.58:9000;China
211.154.142.232:3128;China
211.167.105.102:81;China
Trustworthy Commercial Proxy;
Yes it costs money, but the reliability and customer service is well worth it.;
211.167.105.102:82;China
212.112.124.134:8080;Kyrgyzstan
212.13.49.186:8085;Portugal
212.3.183.218:8080;Italy
212.39.12.227:8080;Italy
212.56.211.230:8080;Moldova, Republic of
212.69.11.115:6666;Serbia and Montenegro
212.69.27.102:6666;Serbia
212.69.27.73:6666;Serbia and Montenegro
213.135.234.6:81;Luxembourg
213.174.124.186:3128;France
213.196.99.54:8080;Bosnia and Herzegovina
213.33.166.2:8080;Russian Federation
213.74.254.254:3128;Turkey
213.85.92.10:80;Russian Federation
216.246.109.93:7808;United States
216.56.26.162:8080;United States
217.112.161.16:8080;Czech Republic
217.117.6.22:8080;Nigeria
217.12.214.70:8081;Ukraine
217.12.215.22:3128;Ukraine
217.21.146.209:8080;Albania
218.164.173.78:3128;Taiwan
218.204.141.92:8118;China
218.22.21.28:80;China
218.23.27.18:9797;China
218.241.167.190:3128;China
218.244.149.79:3128;China
218.250.19.86:3128;Hong Kong
218.250.61.31:8080;Hong Kong
218.30.128.190:8888;China
218.5.74.174:80;China
218.59.144.120:80;China
218.63.208.223:3128;China
218.68.199.166:8118;China
Tired of slow free proxies? Get Paid Proxy!;
You will feel the difference;
218.87.111.115:8080;China
218.97.139.237:3129;China
219.131.172.82:9797;China
219.131.208.143:9999;China
219.131.210.116:9999;China
219.131.211.111:9999;China
219.131.245.190:9999;China
219.134.105.53:9797;China
219.134.105.53:9999;China
219.134.30.140:8888;China
219.136.135.92:9797;China
219.140.175.71:80;China
219.159.199.185:9797;China
220.181.32.106:80;China
220.189.218.98:9999;China
221.10.102.199:81;China
221.10.102.199:82;China
221.10.102.199:843;China
221.10.102.203:80;China
221.10.102.203:81;China
221.10.102.203:83;China
221.10.102.203:843;China
221.14.150.29:8080;China
221.193.249.140:3128;China
221.218.167.173:8118;China
221.223.82.234:9000;China
221.226.2.254:1209;China
221.237.155.64:9797;China
222.124.119.71:8080;Indonesia
222.124.129.178:8080;Indonesia
222.124.149.178:3128;Indonesia
222.124.155.132:3129;Indonesia
222.161.248.99:80;China
222.172.11.23:9000;China
222.177.26.233:3128;China
222.218.152.36:9999;China
222.222.251.131:9797;China
222.35.185.129:8080;China
222.39.87.140:8118;China
222.41.113.43:8080;China
222.45.194.122:8118;China
222.68.250.2:80;China
222.73.233.136:80;China
222.89.164.28:8080;China
222.89.248.100:9999;China
223.164.249.42:80;Indonesia
223.25.97.89:8080;Indonesia
223.4.21.184:80;China
223.99.189.102:8090;China
23.110.53.93:9000;United States
23.23.204.129:3128;United States
23.92.213.42:443;United States
27.106.86.76:8080;India
27.106.86.87:8080;India
27.188.200.193:9999;China
27.188.86.132:9999;China
27.24.16.93:8118;China
27.38.98.82:9797;China
27.46.22.197:8888;China
27.46.23.238:8888;China
27.46.4.102:9999;China
31.135.196.229:8080;Poland
31.135.72.20:8080;Russian Federation
31.28.23.219:8118;Russian Federation
31.28.6.13:8118;Russian Federation
36.234.129.94:3128;Taiwan
36.234.133.155:3128;Taiwan
36.250.74.87:8102;China
36.250.74.87:8103;China
36.250.74.87:8104;China
36.250.74.88:80;China
36.250.74.88:8101;China
36.42.137.140:3128;China
36.55.231.3:8080;Japan
36.70.184.112:8080;Indonesia
36.72.131.251:8080;Indonesia
36.74.149.167:80;Indonesia
36.74.8.235:8080;Indonesia
36.76.224.27:8080;Indonesia
36.77.126.4:8080;Indonesia
36.78.129.72:8080;Indonesia
36.81.155.105:8080;Indonesia
36.81.174.132:8080;Indonesia
36.83.63.104:8080;Indonesia
36.85.65.74:8080;Indonesia
37.114.254.17:8080;Iran, Islamic Republic of
37.16.71.41:8080;Germany
37.48.120.12:8080;Netherlands
41.129.189.95:8080;Egypt
41.129.33.132:80;Egypt
41.154.13.82:3128;South Africa
41.160.147.134:8080;South Africa
41.188.33.58:8080;Madagascar
41.188.49.164:3128;Madagascar
41.216.170.18:8080;Nigeria
41.220.28.138:8080;Zimbabwe
41.223.119.156:3128;Zambia
41.238.62.113:8080;Egypt
41.46.204.251:80;Egypt
41.46.233.54:8080;Egypt
41.72.105.38:3128;Zambia
41.78.26.154:8080;Kenya
41.79.37.74:8585;South Africa
41.79.71.40:8080;Tanzania, United Republic of
42.121.105.155:8888;China
42.159.137.148:8080;China
42.236.33.177:80;China
42.236.33.179:80;China
42.236.33.180:80;China
42.51.132.239:8080;China
44.144.125.1:8080;United States
45.64.136.154:8080;Bangladesh
46.191.161.249:8080;Russian Federation
46.209.123.122:8080;Iran, Islamic Republic of
46.209.70.75:8080;Iran, Islamic Republic of
46.209.70.76:8080;Iran, Islamic Republic of
46.225.239.178:8080;Iran, Islamic Republic of
46.225.244.18:8080;Iran, Islamic Republic of
46.28.245.90:8080;Poland
46.40.38.110:8080;Serbia and Montenegro
46.40.87.106:8080;Bulgaria
46.61.144.118:3128;Russian Federation
46.99.139.34:3127;Albania
49.83.251.135:9999;China
5.167.55.165:3129;Russian Federation
5.56.61.185:20000;Spain
52.0.130.249:3128;United States
52.10.119.115:3128;United States
52.11.71.148:3128;United States
54.165.177.0:3128;United States
54.179.146.117:3128;Singapore
54.186.52.189:80;United States
54.254.198.182:443;Singapore
54.66.174.94:3131;Australia
54.90.77.41:8888;United States
58.135.68.102:80;China
58.246.199.122:3128;China
58.251.170.167:9999;China
58.251.170.21:9797;China
58.251.78.71:8088;China
58.252.0.19:9999;China
58.252.72.179:3128;China
58.253.238.242:80;China
58.254.132.81:8001;China
58.255.155.98:8080;China
58.255.28.105:9797;China
58.255.29.21:9797;China
58.39.47.156:9797;China
58.50.214.17:9797;China
58.50.214.18:9797;China
58.57.73.142:9797;China
58.62.43.131:9797;China
58.67.159.50:80;China
58.96.181.169:3128;Hong Kong
58.96.186.16:3128;Hong Kong
58.97.43.131:8080;Thailand
59.152.99.62:8080;Bangladesh
59.160.9.160:80;India
59.160.9.170:80;India
59.160.9.181:80;India
59.160.9.185:80;India
59.160.9.187:80;India
59.41.61.100:9797;China
59.42.95.51:9797;China
59.48.101.158:9797;China
59.61.79.124:8118;China
60.13.74.183:80;China
60.13.74.183:83;China
60.18.147.42:80;China
60.206.153.177:8001;China
60.207.63.123:8001;China
60.26.3.5:8118;China
61.133.51.6:9797;China
61.152.102.40:80;China
61.157.198.67:8080;China
61.175.207.131:9999;China
61.183.35.101:80;China
61.19.42.244:80;Thailand
61.19.51.54:8080;Thailand
61.219.175.175:8080;Taiwan
61.227.126.140:3128;Taiwan
61.232.6.164:8081;China
61.51.199.73:3128;China
61.53.134.140:9797;China
61.7.138.91:8080;Thailand
61.7.186.210:80;Thailand
61.8.223.35:3128;Asia/Pacific Region
61.8.71.114:3128;Indonesia
61.90.151.244:3128;Thailand
61.91.47.178:3128;Thailand
62.109.30.95:3128;Russian Federation
62.14.220.133:8080;Spain
62.176.13.22:8088;Russian Federation
62.210.97.100:3128;France
62.245.45.50:8080;Russian Federation
63.230.133.177:3128;United States
64.213.240.241:8080;Puerto Rico
67.197.50.18:3128;United States
69.197.148.18:3127;United States
69.197.148.18:7808;United States
69.197.148.18:8089;United States
69.64.58.219:80;United States
75.144.242.89:7004;United States
77.104.214.36:3128;Czech Republic
77.240.161.141:8080;Russian Federation
77.67.17.201:8080;France
78.157.209.36:3129;United Kingdom
78.157.209.38:3128;United Kingdom
78.157.209.38:3129;United Kingdom
78.160.162.111:8080;Turkey
78.160.162.227:8080;Turkey
78.160.163.116:8080;Turkey
79.140.220.243:3128;Ireland
79.175.182.35:8080;Iran, Islamic Republic of
80.191.193.31:3128;Iran, Islamic Republic of
80.64.81.34:3128;Ukraine
80.73.72.139:8080;Russian Federation
80.82.69.72:3128;Netherlands
80.90.90.246:8080;Albania
81.0.160.2:3128;Norway
81.163.88.65:8080;Ukraine
82.114.181.138:80;Yemen
82.118.17.181:3333;Ukraine
82.129.131.250:8080;Egypt
82.166.34.48:80;Israel
82.200.217.66:3128;Kazakstan
82.207.122.96:9999;Ukraine
82.217.92.206:80;Netherlands
83.169.220.50:3128;Russian Federation
83.212.123.100:8080;Greece
83.220.42.106:8080;Russian Federation
83.241.46.175:8080;Latvia
84.117.76.211:8080;Romania
84.124.11.42:8080;Spain
84.22.35.37:3129;Serbia and Montenegro
84.22.35.39:3129;Serbia and Montenegro
84.42.3.3:3128;Russian Federation
85.113.58.126:8080;Russian Federation
85.154.230.162:3128;Oman
85.23.146.128:21320;Finland
85.239.143.28:8081;Bulgaria
85.99.96.254:8080;Turkey
86.107.110.73:7808;Romania
86.122.61.247:3128;Romania
86.6.24.238:3128;United Kingdom
87.120.56.7:8080;Bulgaria
87.120.58.129:8080;Bulgaria
87.226.68.130:2020;Latvia
88.146.210.74:8080;Czech Republic
88.150.136.178:3128;United Kingdom
88.150.136.179:3128;United Kingdom
88.150.136.180:3128;United Kingdom
88.150.136.180:3129;United Kingdom
88.150.136.181:3128;United Kingdom
88.200.203.54:8080;Russian Federation
88.87.92.184:8080;Russian Federation
89.110.197.251:8080;Serbia and Montenegro
89.152.74.226:8080;Portugal
89.218.26.19:8080;Kazakstan
91.106.34.18:3127;Iraq
